timestamp,service,container_id,container_name,cpu_percent,memory_usage_bytes,memory_limit_bytes,memory_percent,net_input_bytes,net_output_bytes,block_input_bytes,block_output_bytes,pids
2026-09-25T03:36:05+00:00,frankenphp-worker,a378e3317d59,yii3-benchmarks-frankenphp-worker-frankenphp-worker-1,78.73,103515423,33608119091,0.31,4010000,7510000,0,16400,56
2026-09-25T03:36:05+00:00,postgres,862f97539873,yii3-benchmarks-frankenphp-worker-postgres-1,0.01,36060529,33608119091,0.11,1420,126,0,257000000,9
2026-09-25T03:36:05+00:00,valkey,c34554a6f886,yii3-benchmarks-frankenphp-worker-valkey-1,3.56,3895460,33608119091,0.01,1590000,291000,0,0,8
2026-09-25T03:36:08+00:00,frankenphp-worker,a378e3317d59,yii3-benchmarks-frankenphp-worker-frankenphp-worker-1,87.84,103525908,33608119091,0.31,5960000,11300000,0,16400,56
2026-09-25T03:36:08+00:00,postgres,862f97539873,yii3-benchmarks-frankenphp-worker-postgres-1,1.89,36081500,33608119091,0.11,1420,126,0,257000000,9
2026-09-25T03:36:08+00:00,valkey,c34554a6f886,yii3-benchmarks-frankenphp-worker-valkey-1,2.08,3895460,33608119091,0.01,2710000,488000,0,0,8
2026-09-25T03:36:11+00:00,frankenphp-worker,a378e3317d59,yii3-benchmarks-frankenphp-worker-frankenphp-worker-1,75.14,103850967,33608119091,0.31,7930000,15100000,0,16400,56
2026-09-25T03:36:11+00:00,postgres,862f97539873,yii3-benchmarks-frankenphp-worker-postgres-1,3.1,38860227,33608119091,0.12,1420,126,0,257000000,9
2026-09-25T03:36:11+00:00,valkey,c34554a6f886,yii3-benchmarks-frankenphp-worker-valkey-1,3.47,3895460,33608119091,0.01,3810000,682000,0,0,8
2026-09-25T03:36:14+00:00,frankenphp-worker,a378e3317d59,yii3-benchmarks-frankenphp-worker-frankenphp-worker-1,78.28,102456361,33608119091,0.3,9700000,17800000,0,16400,56
2026-09-25T03:36:14+00:00,postgres,862f97539873,yii3-benchmarks-frankenphp-worker-postgres-1,0.02,38860227,33608119091,0.12,1420,126,0,257000000,9
2026-09-25T03:36:14+00:00,valkey,c34554a6f886,yii3-benchmarks-frankenphp-worker-valkey-1,0.15,3891266,33608119091,0.01,4040000,723000,0,0,8
2026-09-25T03:36:17+00:00,frankenphp-worker,a378e3317d59,yii3-benchmarks-frankenphp-worker-frankenphp-worker-1,80.16,102949192,33608119091,0.31,10900000,19700000,0,16400,56
2026-09-25T03:36:17+00:00,postgres,862f97539873,yii3-benchmarks-frankenphp-worker-postgres-1,0.01,38860227,33608119091,0.12,1420,126,0,257000000,9
