timestamp,service,container_id,container_name,cpu_percent,memory_usage_bytes,memory_limit_bytes,memory_percent,net_input_bytes,net_output_bytes,block_input_bytes,block_output_bytes,pids
2026-09-25T04:37:05+00:00,rapira,be96591ce374,yii3-benchmarks-rapira-rapira-1,119.49,248827085,33608119091,0.74,1840000000,4270000000,0,0,181
2026-09-25T04:37:05+00:00,postgres,f1da5470a955,yii3-benchmarks-rapira-postgres-1,175.99,85437972,33608119091,0.25,11600000,127000000,0,297000000,29
2026-09-25T04:37:05+00:00,valkey,44c7996de19f,yii3-benchmarks-rapira-valkey-1,1.61,3867148,33608119091,0.01,5400000,1710000,0,0,8
2026-09-25T04:37:08+00:00,rapira,be96591ce374,yii3-benchmarks-rapira-rapira-1,117.8,244213350,33608119091,0.73,1910000000,4390000000,0,0,181
2026-09-25T04:37:08+00:00,postgres,f1da5470a955,yii3-benchmarks-rapira-postgres-1,179.16,83403735,33608119091,0.25,15500000,170000000,0,297000000,28
2026-09-25T04:37:08+00:00,valkey,44c7996de19f,yii3-benchmarks-rapira-valkey-1,1.67,3862954,33608119091,0.01,5400000,1710000,0,0,8
2026-09-25T04:37:11+00:00,rapira,be96591ce374,yii3-benchmarks-rapira-rapira-1,134.26,244213350,33608119091,0.73,1950000000,4460000000,0,0,181
2026-09-25T04:37:11+00:00,postgres,f1da5470a955,yii3-benchmarks-rapira-postgres-1,181.69,84441825,33608119091,0.25,23200000,255000000,0,297000000,28
2026-09-25T04:37:11+00:00,valkey,44c7996de19f,yii3-benchmarks-rapira-valkey-1,0.16,3862954,33608119091,0.01,5400000,1710000,0,0,8
2026-09-25T04:37:14+00:00,rapira,be96591ce374,yii3-benchmarks-rapira-rapira-1,137.42,244842496,33608119091,0.73,2020000000,4580000000,0,0,181
2026-09-25T04:37:14+00:00,postgres,f1da5470a955,yii3-benchmarks-rapira-postgres-1,184.72,85574287,33608119091,0.25,29000000,320000000,0,297000000,28
2026-09-25T04:37:14+00:00,valkey,44c7996de19f,yii3-benchmarks-rapira-valkey-1,1.84,3862954,33608119091,0.01,5400000,1710000,0,0,8
2026-09-25T04:37:17+00:00,rapira,be96591ce374,yii3-benchmarks-rapira-rapira-1,133.74,244632781,33608119091,0.73,2100000000,4730000000,0,0,181
2026-09-25T04:37:17+00:00,postgres,f1da5470a955,yii3-benchmarks-rapira-postgres-1,186.98,84274053,33608119091,0.25,34700000,384000000,0,297000000,28
2026-09-25T04:37:17+00:00,valkey,44c7996de19f,yii3-benchmarks-rapira-valkey-1,1.79,3862954,33608119091,0.01,5400000,1710000,0,0,8
2026-09-25T04:37:20+00:00,rapira,be96591ce374,yii3-benchmarks-rapira-rapira-1,133.46,244527923,33608119091,0.73,2150000000,4800000000,0,0,181
2026-09-25T04:37:20+00:00,postgres,f1da5470a955,yii3-benchmarks-rapira-postgres-1,189.09,83613450,33608119091,0.25,38700000,427000000,0,297000000,28
