timestamp,service,container_id,container_name,cpu_percent,memory_usage_bytes,memory_limit_bytes,memory_percent,net_input_bytes,net_output_bytes,block_input_bytes,block_output_bytes,pids
2026-09-26T00:34:04+00:00,rapira,9889746ac7bb,yii3-benchmarks-rapira-rapira-1,97.62,229533286,33608119091,0.68,2690000,4150000,0,0,181
2026-09-26T00:34:04+00:00,postgres,bfc54200c173,yii3-benchmarks-rapira-postgres-1,0.04,36060529,33608119091,0.11,1420,126,0,257000000,9
2026-09-26T00:34:04+00:00,valkey,2a5efee65155,yii3-benchmarks-rapira-valkey-1,0.88,3903848,33608119091,0.01,290000,60900,0,0,8
2026-09-26T00:34:07+00:00,rapira,9889746ac7bb,yii3-benchmarks-rapira-rapira-1,84.95,230162432,33608119091,0.68,4020000,6240000,0,0,181
2026-09-26T00:34:07+00:00,postgres,bfc54200c173,yii3-benchmarks-rapira-postgres-1,2.54,36133929,33608119091,0.11,1420,126,0,257000000,9
2026-09-26T00:34:07+00:00,valkey,2a5efee65155,yii3-benchmarks-rapira-valkey-1,1.07,3895460,33608119091,0.01,469000,92500,0,0,8
2026-09-26T00:34:10+00:00,rapira,9889746ac7bb,yii3-benchmarks-rapira-rapira-1,87.75,229638144,33608119091,0.68,5360000,8350000,0,0,181
2026-09-26T00:34:10+00:00,postgres,bfc54200c173,yii3-benchmarks-rapira-postgres-1,6.26,38839255,33608119091,0.12,1420,126,0,257000000,9
2026-09-26T00:34:10+00:00,valkey,2a5efee65155,yii3-benchmarks-rapira-valkey-1,1.12,3919577,33608119091,0.01,706000,134000,0,0,8
2026-09-26T00:34:13+00:00,rapira,9889746ac7bb,yii3-benchmarks-rapira-rapira-1,84.31,229428429,33608119091,0.68,6680000,10400000,0,0,181
2026-09-26T00:34:13+00:00,postgres,bfc54200c173,yii3-benchmarks-rapira-postgres-1,0.02,38839255,33608119091,0.12,1420,126,0,257000000,9
2026-09-26T00:34:13+00:00,valkey,2a5efee65155,yii3-benchmarks-rapira-valkey-1,2.71,4173332,33608119091,0.01,884000,166000,0,0,8
2026-09-26T00:34:16+00:00,rapira,9889746ac7bb,yii3-benchmarks-rapira-rapira-1,83.64,230267290,33608119091,0.69,8020000,12500000,0,0,181
2026-09-26T00:34:16+00:00,postgres,bfc54200c173,yii3-benchmarks-rapira-postgres-1,2.19,38923141,33608119091,0.12,1420,126,0,257000000,9
2026-09-26T00:34:16+00:00,valkey,2a5efee65155,yii3-benchmarks-rapira-valkey-1,1.02,3915383,33608119091,0.01,1060000,197000,0,0,8
2026-09-26T00:34:19+00:00,rapira,9889746ac7bb,yii3-benchmarks-rapira-rapira-1,81.11,229533286,33608119091,0.68,8910000,13900000,0,0,181
2026-09-26T00:34:19+00:00,postgres,bfc54200c173,yii3-benchmarks-rapira-postgres-1,2.3,38954598,33608119091,0.12,1420,126,0,257000000,9
2026-09-26T00:34:19+00:00,valkey,2a5efee65155,yii3-benchmarks-rapira-valkey-1,0.98,3903848,33608119091,0.01,1180000,218000,0,0,8
2026-09-26T00:34:22+00:00,rapira,9889746ac7bb,yii3-benchmarks-rapira-rapira-1,84.31,232259584,33608119091,0.69,10200000,16000000,0,0,181
2026-09-26T00:34:22+00:00,postgres,bfc54200c173,yii3-benchmarks-rapira-postgres-1,0.02,38839255,33608119091,0.12,1490,126,0,257000000,9
2026-09-26T00:34:22+00:00,valkey,2a5efee65155,yii3-benchmarks-rapira-valkey-1,0.87,3919577,33608119091,0.01,1420000,260000,0,0,8
2026-09-26T00:34:25+00:00,rapira,9889746ac7bb,yii3-benchmarks-rapira-rapira-1,80.09,232259584,33608119091,0.69,12000000,18800000,0,0,181
2026-09-26T00:34:25+00:00,postgres,bfc54200c173,yii3-benchmarks-rapira-postgres-1,2.15,38891684,33608119091,0.12,1490,126,0,257000000,9
2026-09-26T00:34:25+00:00,valkey,2a5efee65155,yii3-benchmarks-rapira-valkey-1,1.09,3936354,33608119091,0.01,1540000,281000,0,0,8
2026-09-26T00:34:28+00:00,rapira,9889746ac7bb,yii3-benchmarks-rapira-rapira-1,77.53,232574157,33608119091,0.69,13300000,20900000,0,0,181
2026-09-26T00:34:28+00:00,postgres,bfc54200c173,yii3-benchmarks-rapira-postgres-1,0.02,38891684,33608119091,0.12,1490,126,0,257000000,9
2026-09-26T00:34:28+00:00,valkey,2a5efee65155,yii3-benchmarks-rapira-valkey-1,2.66,3919577,33608119091,0.01,1710000,312000,0,0,8
